"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"file_1_file_1_jg363",474.695372095514,4.48031773530685,0.419740224186748,10.6740252116354,1.34663447803384e-26,2.91950354837737e-23
"file_1_file_1_jg1796",801.585504222737,4.43481957370615,0.439851302149567,10.0825427866942,6.59957241233912e-24,7.15393649497561e-21
"file_1_file_1_jg841",668.569991363693,3.83592380809276,0.407798780459445,9.40641314270491,5.13356685828862e-21,3.70985764958991e-18
"file_1_file_1_jg2055",542.976157982567,3.70562363158214,0.405873179310709,9.13000370676222,6.84969494065093e-20,3.71253465783281e-17
"file_1_file_1_jg1962",257.002879376534,4.49742822881079,0.504401914719648,8.91635835940572,4.81872418415691e-19,2.08939880625044e-16
"file_1_file_1_jg840",943.271055772481,3.48155017746546,0.415382339954928,8.38155559969936,5.22327183132804e-17,1.88734222171987e-14
"file_1_file_1_jg1855",483.868029446539,-2.74656003625166,0.328670511200524,-8.35657578837661,6.45649592172657e-17,1.99966902261474e-14
"file_1_file_1_jg2787",76.8570393181114,5.74974177950772,0.712310020272526,8.07196531828641,6.91755272755365e-16,1.87465678916704e-13
"file_1_file_1_jg474",2315.23370331726,-2.9105321134963,0.361228854817402,-8.05730792178148,7.79930089767416e-16,1.87876492735084e-13
"file_1_file_1_jg2814",35071.3680808766,4.27687762821767,0.537860595189506,7.95164707448179,1.84047948692717e-15,3.9901595276581e-13
"file_1_file_1_jg1864",762.425099934471,4.75917349256276,0.619216140077809,7.68580336417707,1.52039877221657e-14,2.82422976660234e-12
"file_1_file_1_jg719",604.311623664956,-3.07975542974734,0.400892555775682,-7.68224649067966,1.56322680808248e-14,2.82422976660234e-12
"file_1_file_1_jg2271",7278.32831668508,3.48411254460678,0.462632314648733,7.53106178337801,5.03293653486985e-14,8.39338954430602e-12
"file_1_file_1_jg2582",340.647575106201,-6.66807171801588,0.902147636689015,-7.39133091617738,1.45366334210713e-13,2.25110151834875e-11
"file_1_file_1_jg2935",95.8461071687364,5.22079990218943,0.711872511454288,7.33389731754613,2.23554405145791e-13,3.23110633570717e-11
"file_1_file_1_jg137",1173.78442750266,-3.60432758755529,0.493326706494719,-7.30616757638251,2.74869340745614e-13,3.72447956710307e-11
"file_1_file_1_jg2646",248.086124904301,-4.21980347885896,0.583073372106092,-7.23717405172663,4.58130065209133e-13,5.84250577278471e-11
"file_1_file_1_jg1088",161.873231177549,4.68903078623729,0.653006698469546,7.18067792754192,6.93665886967546e-13,7.91509285760864e-11
"file_1_file_1_jg405",65.7993186335059,6.68439986692745,0.93044982487018,7.18405193730901,6.7675136357034e-13,7.91509285760864e-11
"file_1_file_1_jg473",736.185426251996,-3.15823152127731,0.44100315001335,-7.16147157039969,7.98155686749836e-13,8.65200764436822e-11
"file_1_file_1_jg2939",167.685771676771,3.56272059563089,0.505502042493481,7.0478856584973,1.81656809695809e-12,1.71231288443702e-10
"file_1_file_1_jg1854",527.023524321937,-2.2938905457762,0.325461503802259,-7.04811634856177,1.81355975038449e-12,1.71231288443702e-10
"file_1_file_1_jg163",85.7406753563547,-9.83025947587078,1.39362468919065,-7.0537351642211,1.74177746387114e-12,1.71231288443702e-10
"file_1_file_1_jg2647",77.9732181980147,-4.74761812857322,0.678199742342282,-7.00032428820525,2.55370724304872e-12,2.30684887622068e-10
"file_1_file_1_jg1423",538.099020127551,-6.60386478108753,0.947757547088017,-6.96788414017687,3.21743012067736e-12,2.79015540065141e-10
"file_1_file_1_jg1824",72.1045726557319,5.18882381151648,0.746332450517167,6.95242958807555,3.59048057311839e-12,2.99390841635411e-10
"file_1_file_1_jg1132",146.101830542944,3.58480546049162,0.518531215049841,6.91338410580943,4.73226313405532e-12,3.79983202764146e-10
"file_1_file_1_jg499",273.930856277869,3.30921513233379,0.486008403327838,6.80896690196025,9.83020899252185e-12,7.61139039135263e-10
"file_1_file_1_jg2102",55.8485131871115,5.23083432363892,0.770935064438234,6.78505177015205,1.16044891193545e-11,8.67535600371053e-10
"file_1_file_1_jg441",743.145184769801,2.05241453059205,0.303276764168402,6.7674638253935,1.3105940445683e-11,9.47122629541357e-10
"file_1_file_1_jg2707",2333.16295743317,2.23059657301654,0.336744404462794,6.62400486379275,3.4959525308501e-11,2.44491131834936e-09
"file_1_file_1_jg1676",680.02552856805,-4.97642748820424,0.766747877934239,-6.49030487258949,8.5662847855451e-11,5.80365794220681e-09
"file_1_file_1_jg472",352.485249776062,-4.12656750788319,0.638660222502624,-6.46128780607787,1.03815654889233e-10,6.82037393332898e-09
"file_1_file_1_jg193",216.504637082331,2.86325992179859,0.455184440882116,6.29032907243005,3.16793696081614e-10,2.02002568560276e-08
"file_1_file_1_jg1743",573.587290078808,-3.58700723204106,0.570707101440977,-6.28519817430733,3.27435731663018e-10,2.02823047498692e-08
"file_1_file_1_jg514",37.3623344230882,6.27484264919886,1.00685658400145,6.23211165214947,4.60189283766465e-10,2.77136213112693e-08
"file_1_file_1_jg3236",93.6817556682646,5.1140232310426,0.821437050654348,6.22570314666086,4.79401023971164e-10,2.80903086478239e-08
"file_1_file_1_jg2760",13655.6609614254,3.59216480553179,0.579391831214438,6.19988859353162,5.65031423732965e-10,3.2236529648765e-08
"file_1_file_1_jg2430",10620.5911404701,3.05669856845018,0.495010639315897,6.17501590001081,6.61568125107679e-10,3.67764024418833e-08
"file_1_file_1_jg1011",627.99301589359,-2.00689176931891,0.326632973520217,-6.14417995736946,8.03776753456739e-10,4.35647000373553e-08
"file_1_file_1_jg1798",37.5722105054248,8.74407471304892,1.45422175849687,6.01288947985972,1.82245291804584e-09,9.63677543005704e-08
"file_1_file_1_jg1380",246.666265135896,-3.82578492574136,0.64564232122718,-5.92554855832505,3.11256589091848e-09,1.56931229104913e-07
"file_1_file_1_jg1183",60.5593701677749,-5.28839413514665,0.891913747905452,-5.92926630805477,3.04291236818968e-09,1.56931229104913e-07
"file_1_file_1_jg1833",48.7124283778524,6.69630079143383,1.14350789080058,5.85592880058369,4.7435142124316e-09,2.33725882103448e-07
"file_1_file_1_jg1387",24.1194069140278,8.11215993980203,1.39267054382506,5.82489518125475,5.71484564311910e-09,2.75328563428493e-07
"file_1_file_1_jg2664",801.400507703102,4.1282880279735,0.710520302606529,5.81023232246702,6.23862073115565e-09,2.94028907503162e-07
"file_1_file_1_jg1504",802.404379443393,1.84922078826882,0.318809373834668,5.8003965379883,6.61582832946455e-09,3.05172676984663e-07
"file_1_file_1_jg1436",43.930004711173,4.01397606423115,0.699211935934471,5.74071444999951,9.42779474695556e-09,4.25822062737493e-07
"file_1_file_1_jg1239",4655.41972961777,-2.74340511381192,0.479317004728823,-5.72357142923402,1.04307682251282e-08,4.46977154721974e-07
"file_1_file_1_jg854",60.1282943703439,3.74015723616952,0.653621036107711,5.7222106229047,1.05146839902309e-08,4.46977154721974e-07
"file_1_file_1_jg1863",8602.40757449095,3.59883353604212,0.628848604165125,5.72289341537146,1.04724970806194e-08,4.46977154721974e-07
"file_1_file_1_jg1162",774.286548085611,-2.25858345115045,0.395085071622425,-5.71670157486724,1.08611613202369e-08,4.52826879659109e-07
"file_1_file_1_jg452",421.010696461065,1.88983885109574,0.332762497656446,5.67924229564736,1.35292717737394e-08,5.53423796329565e-07
"file_1_file_1_jg2461",177.448054526023,-3.45873801034381,0.609702466583548,-5.67282928954636,1.40458180860221e-08,5.63913585379556e-07
"file_1_file_1_jg537",86.6459457302009,2.58793652354941,0.456922331603664,5.66384338114206,1.48019519497701e-08,5.8346603322003e-07
"file_1_file_1_jg453",194.217214065378,2.21908727965471,0.393255523715594,5.64286359842607,1.67244844678322e-08,6.4747647011179e-07
"file_1_file_1_jg1418",111.675126831345,4.87463001725791,0.865212792129227,5.63402444069486,1.76052054198686e-08,6.69615532460966e-07
"file_1_file_1_jg2848",155.625800407021,3.54284085370637,0.634271299252712,5.58568684706447,2.32778360974473e-08,8.3697111287355e-07
"file_1_file_1_jg2533",56.6569403943915,5.09338416707467,0.91135756369845,5.58878794663734,2.28659971051921e-08,8.3697111287355e-07
"file_1_file_1_jg2364",1916.16134723842,-2.34017666544333,0.419110807467107,-5.5836705323496,2.35494639692281e-08,8.3697111287355e-07
"file_1_file_1_jg1846",68.3441912310495,3.50497643116682,0.627413326881969,5.58639142809631,2.31836373813581e-08,8.3697111287355e-07
"file_1_file_1_jg1563",31.3960689340474,7.51944319673945,1.35206894461655,5.5614347379837,2.67565737881587e-08,9.35616967302065e-07
"file_1_file_1_jg1890",1260.69967727412,2.96645869194087,0.534316144463703,5.55187920611743,2.82614862846295e-08,9.72554004207566e-07
"file_1_file_1_jg184",79.1470997798094,-3.16489340614849,0.573942266904202,-5.51430620926329,3.50158492709644e-08,1.16791324953001e-06
"file_1_file_1_jg1125",447.569757952832,-2.41032442135204,0.437102420332051,-5.51432412458619,3.50122829315343e-08,1.16791324953001e-06
"file_1_file_1_jg855",825.168922341638,2.11440943699166,0.384023805960252,5.50593323688508,3.6721768724828e-08,1.20625446356708e-06
"file_1_file_1_jg1242",1099.70626642329,2.70057089302563,0.493984507074309,5.46691415287521,4.57937695050527e-08,1.46001312186697e-06
"file_1_file_1_jg1131",37214.8866336262,2.27537364874507,0.416107254668218,5.46823835253564,4.54530396999134e-08,1.46001312186697e-06
"file_1_file_1_jg321",38.4344316059046,4.5321157355006,0.832129194846408,5.44640875908353,5.13969485013426e-08,1.61490701957842e-06
"file_1_file_1_jg2484",1180.39612912131,-1.77642791356394,0.326789614908621,-5.43599867474575,5.44903596449027e-08,1.68764428157356e-06
"file_1_file_1_jg1388",111.65527343924,4.99006746984637,0.918939699445742,5.43024474060282,5.62768207394619e-08,1.69455760226602e-06
"file_1_file_1_jg1007",174.125376048131,-1.96170913456085,0.361168414513359,-5.43156338076813,5.58624678012595e-08,1.69455760226602e-06
"file_1_file_1_jg3228",636.798844813466,2.40460050783871,0.444839449340322,5.40554690328079,6.46109398615155e-08,1.91885640575021e-06
"file_1_file_1_jg2927",1456.2806661785,-2.25621157294621,0.418626673637846,-5.38955521715766,7.06322761468318e-08,2.06933479305853e-06
"file_1_file_1_jg2226",1506.34375774866,1.97693972092035,0.366983786969634,5.38699471506606,7.16455400187017e-08,2.07103374347394e-06
"file_1_file_1_jg3159",11408.5637650365,1.80140327208565,0.337681773317217,5.33461801740013,9.57458985414664e-08,2.73127773734078e-06
"file_1_file_1_jg1310",30.1041860575031,4.95110434501275,0.929322222731005,5.32765086630868,9.94911316071954e-08,2.76534324774871e-06
"file_1_file_1_jg2659",111.38656304912,-3.01316927048675,0.565397405441946,-5.32929447762763,9.85950218481913e-08,2.76534324774871e-06
"file_1_file_1_jg789",1231.85025224785,-2.46822039091538,0.464178429762864,-5.31739570961178,1.0526298104065e-07,2.88873598602695e-06
"file_1_file_1_jg1782",1611.89781741875,-1.81916361206477,0.342320009759256,-5.31421932753547,1.07115541499918e-07,2.90283117464777e-06
"file_1_file_1_jg175",73.1446743389852,2.92211446783924,0.550166854073232,5.31132409414524,1.08831587512659e-07,2.91292446577091e-06
"file_1_file_1_jg3033",70.9626134755463,-6.07154410180039,1.14968687670338,-5.2810414947155,1.28451591895133e-07,3.39613477108108e-06
"file_1_file_1_jg1842",84.490377418833,-2.26832298124573,0.431056819163076,-5.26223662497632,1.42313443493891e-07,3.71729572885247e-06
"file_1_file_1_jg536",333.315838060952,-4.4510120019028,0.853501004581657,-5.2150049947328,1.83812282255419e-07,4.74410747535416e-06
"file_1_file_1_jg178",1317.19697884406,2.26452589006399,0.43527250877647,5.20254747176535,1.96575123749993e-07,5.01382197988216e-06
"file_1_file_1_jg2518",4611.14284541668,-2.30101586652716,0.444308490982865,-5.17886989158597,2.23234087581177e-07,5.6275756032092e-06
